Vardas         Pavarde        ND1       ND2       ND3       ND4       ND5       ND6       ND7       ND8       ND9       ND10      ND11      ND12      ND13      ND14      ND15      Egz.           
Aleksandra     Kavaliauskaite 4         2         7         1         7         6         7         7         10        2         8         4         10        6         8         1         
Tomas          Butkus         9         3         3         10        3         5         4         10        2         2         9         10        8         10        8         4         
Patricija      Lukoseviciute  3         1         7         7         7         1         9         9         10        9         6         10        6         4         3         5         
Augustas       Kavaliauskas   10        9         8         2         6         9         6         1         5         5         1         5         6         7         9         8         
Tomas          Kavaliauskas   10        4         4         10        9         8         7         5         5         10        1         4         7         4         2         10        
Deivydas       Urbanavicius   6         6         5         1         6         7         8         6         3         9         1         7         8         7         9         9         
Liepa          Kavaliauskaite 6         3         1         9         6         6         10        1         9         3         6         2         8         4         8         5         
Liepa          Balciunaite    3         4         7         6         7         7         4         5         3         1         5         4         1         6         10        6         
Smilte         Kavaliauskaite 3         8         3         8         5         2         4         4         6         10        9         3         10        7         5         1         
Aleksandra     Leonaviciute   6         7         8         8         3         9         3         1         2         2         8         4         6         5         10        10        
Robertas       Urbanavicius   2         1         9         10        7         9         5         8         9         8         5         5         6         10        6         3         
Smilte         Lukoseviciute  4         9         2         8         8         9         8         9         9         7         8         8         6         6         5         6         
Vita           Kazlauskaite   4         9         6         5         3         2         6         10        3         3         3         2         5         10        4         4         
Marius         Navickas       6         4         3         10        3         3         7         6         7         5         1         10        9         5         5         4         
Marius         Urbanavicius   4         7         9         2         5         3         8         8         8         10        2         7         5         3         3         3         
Ieva           Vasiliauskaite 4         10        3         9         7         7         8         8         2         7         10        3         1         7         1         1         
Jokubas        Petrauskas     5         7         9         1         6         4         1         4         10        2         5         7         2         3         9         1         
Sandra         Lukoseviciute  10        9         8         3         2         5         6         9         10        2         10        8         5         5         5         1         
Marius         Butkus         6         4         2         4         4         7         2         10        4         4         4         10        1         1         7         1         
Robertas       Kazlauskas     2         10        3         6         6         4         8         4         4         7         2         3         3         3         7         7         
Vita           Butkute        5         8         1         10        10        10        9         2         3         9         5         4         6         7         10        6         
Karolina       Leonaviciute   7         4         1         5         1         9         8         2         1         2         1         6         9         9         3         5         
Tomas          Butkus         4         1         6         1         2         8         2         10        9         10        9         8         10        5         6         6         
Augustas       Butkus         9         6         10        7         1         3         3         5         7         4         8         5         2         4         8         7         
Aleksandra     Lukoseviciute  1         8         4         7         10        9         4         2         8         9         5         6         1         9         1         3         
Matas          Kavaliauskas   4         3         4         4         1         4         5         4         10        2         9         9         1         6         1         2         
Jokubas        Navickas       10        4         9         4         7         5         5         2         3         3         9         8         1         1         2         3         
Augustas       Petrauskas     4         2         5         9         9         9         7         5         3         7         3         10        7         10        4         4         
Aleksandra     Pociute        4         7         9         10        1         6         7         2         8         10        8         4         2         7         1         5         
Marius         Petrauskas     7         9         3         4         7         3         9         8         4         8         9         5         5         3         6         7         
Patricija      Butkute        7         1         8         6         5         3         4         1         9         5         10        4         2         9         5         9         
Augustas       Sadauskas      5         5         10        8         4         9         7         8         2         10        3         4         4         5         7         7         
Sandra         Leonaviciute   7         8         9         5         3         7         3         4         8         3         10        4         1         9         9         9         
Karolina       Kazlauskaite   5         9         2         8         2         4         2         5         8         2         1         6         5         5         5         5         
Sandra         Jankauskaite   8         2         3         9         3         1         6         6         6         1         3         2         4         6         3         5         
